URL,Image Name,Caption,Inset
https://timesofmalta.com/articles/view/editorial-power-cuts-enough-say-sorry.1044745,img00042.jpg,Enemalta said it responded to nine major network disruptions in several localities on Tuesday night. Photo: Enemalta,False
https://timesofmalta.com/articles/view/letters-editor-july-21-2023.1044748,img00043.jpg,A pre-1962 born pensioner will be receiving &euro;82 a week less than a post-1962 born pensioner. Photo: Shutterstock.com,False
https://timesofmalta.com/articles/view/letters-editor-july-21-2023.1044748,img00044.jpg,Image: Times of Malta,False
https://timesofmalta.com/articles/view/why-accidents-happen.1044577,img00045.jpg,Monday’s vigil for Jean Paul Sofia who died at a construction site last December. Photo: Matthew Mirabelli,False
https://timesofmalta.com/articles/view/the-arrogance-political-establishment.1044712,img00046.jpg,Prime Minister Robert Abela is jeered by protesters as he leaves Castille on Monday evening during the Jean Paul Sofia vigil. Video grab: Jonathan Borg,False
https://timesofmalta.com/articles/view/no-country-prosper-isolation.1044532,img00047.jpg,Foreign companies are casting a vote of confidence in the Chinese economy. Photo: Shuttestock.com,False
https://timesofmalta.com/articles/view/opinion-robert-abela-great-week.1044541,img00048.jpg,Prime Minister Robert Abela addressing a news conference prior a protest on Monday. Photo: Matthew Mirabelli,False
https://timesofmalta.com/articles/view/editorial-the-land-use-emergency.1044544,img00049.jpg,Photo: Chris Sant Fournier,False
https://timesofmalta.com/articles/view/letters-editor-july-20-2023.1044547,img00050.jpg,"Cars stop haphazardly on the road alongside Pretty Bay, Birżebbuġa. Photo: Shutterstock.com",False
https://timesofmalta.com/articles/view/letters-editor-july-20-2023.1044547,img00051.jpg,Image: Times of Malta,False
https://timesofmalta.com/articles/view/editorial-uturn-back-common-sense.1044325,img00052.jpg,Prime Minister Robert Abela giving a press conference at Castille on Monday. Photo: Matthew Mirabelli,False
https://timesofmalta.com/articles/view/older-adults-income-grew.1044136,img00053.jpg,"Among the pensioner population, the majority are still dependent on one pension.",False
https://timesofmalta.com/articles/view/evapes-going-smoke.1044139,img00054.jpg,Photo: Shutterstock.com,False
https://timesofmalta.com/articles/view/letters-editor-july-19-2023.1044316,img00055.jpg,The greenery on the centre strip is now mostly hidden by the concrete barriers. Photo: Jonathan Borg,False
https://timesofmalta.com/articles/view/letters-editor-july-19-2023.1044316,img00056.jpg,Image: Times of Malta,False
https://timesofmalta.com/articles/view/editorial-the-problem-rising-inequality.1044088,img00057.jpg,Inflation is hitting the elderly most. Photo: Chris Sant Fournier,False
https://timesofmalta.com/articles/view/mps-privilege-needs-limits.1044112,img00058.jpg,The reform of parliamentary privilege has been mooted several times by Speaker Anġlu Farrugia.,False
https://timesofmalta.com/articles/view/letters-editor-july-18-2023.1044097,img00059.jpg,Public transport in Malta has great potential but buses are far from being punctual.,False
https://timesofmalta.com/articles/view/letters-editor-july-18-2023.1044097,img00060.jpg,Image: Times of Malta,False
https://timesofmalta.com/articles/view/just-something-can-done-doesnt-mean-done.1044079,img00061.jpg,Lucille Cachia is the Director of Exereco Ltd.,False
https://timesofmalta.com/articles/view/just-something-can-done-doesnt-mean-done.1044079,img00062.jpg,Creating genuinely sustainable cities and communities goes beyond the mere existence of green spaces and green walls. Photo: Shutterstock ,False
https://timesofmalta.com/articles/view/green-deal-faces-dilemma-john-cassar-white.1043975,img00063.jpg,The Green Deal’s ultimate objective is to make Europe the first climate-neutral continent by 2050. Photo: Shutterstock.com,False
https://timesofmalta.com/articles/view/jean-paul-sofia-man-alexander-jacobsen.1044014,img00064.jpg,Jean Paul Sofia’s life was swiped away by a poorly constructed building on state land given to friends of friends with access to higher-ups in government. File photo,False
https://timesofmalta.com/articles/view/burlo-july-17-2023.1043999,img00065.jpg,"Once again, Oh My Malta",False
https://timesofmalta.com/articles/view/opinion-the-game-changer.1043627,img00066.jpg,Faced with massive dip in his popularity Robert Abela threw the pro-abortion lobby under a bus. Photo: Chris Sant Fournier ,False
https://timesofmalta.com/articles/view/opinion-change-law-inquiries.1043630,img00067.jpg,Isabelle Bonnici has been relentless in trying to persuade the government to launch a public inquiry into her son’s death. Photo: Chris Sant Fournier,False
https://timesofmalta.com/articles/view/editorial-exploitation-thirdcountry-nationals.1043639,img00068.jpg,"Sanjolucy Leela (left) and Jeejo Jose Chowallur of the Malta Malayalee Association say many of their compatriots pay up to €10,000 to get to Malta. Photo: Karl Andrew Micallef",False
